NIF;clave;nombre;direccion;latitud;longitud;frase
10982609X;pU7Pqqk;Marlie Klassmann;1133 Blaine Place;37.10422;-8.308;Intentemos algo
92139205N;ipbb9sHKa;Caria MacIlwrick;0 Mosinee Place;42.172865;0.833745;Tengo que irme a dormir
34536319T;4pUF1OcsIG;Lauren Cootes;854 Dunning Trail;36.424498;-3.252086;Que estas haciendo
10801728L;QhmLb4o5;Harman Bale;241 Alpine Center;43.002225;1.645502;Que es eso
35382257D;7ho4Ror;Carr Zanardii;3 Manley Pass;42.151523;-8.951018;Hoy es 18 de junio y es el cumpleanos de Muiriel
37864728U;YDpE4jX2T5;Dannie Halvosen;24 Northport Way;37.67811;2.933725;Feliz cumpleanos Muiriel
84248538P;M58pmr5njMFO;Westleigh Kidstoun;9214 Anzinger Lane;42.277007;-2.5807;Ahora Muiriel tiene 20 anos
57800852L;Ov3xZ7CDcn3n;Quintilla Haldenby;47407 Ridge Oak Point;41.999226;-8.143156;La contrasena es Muiriel
79854052O;EUPMgezW1;Padraig Flewin;03 Tennyson Trail;36.660754;3.77642;Volvere pronto
00463415C;TcyTS6ZOA;Stearn Pollie;2198 Knutson Hill;42.502938;-3.532391;No tengo palabras
10756312E;gNlOluN2VY;Beauregard Halling;4 Algoma Crossing;38.209298;-3.919535;Esto no acabara nunca
98803670M;pzTC1m9jsXvb;Jilli OFallowne;20 Bashford Street;41.925213;-8.394435;Simplemente no se que decir
47401925F;8cRX7Cfku;Leodora Coupman;37378 Surrey Drive;36.484999;-3.378311;Era un conejo malo
17420418F;TqOT0sBhdqMF;Madella Schorah;428 Northport Way;41.302226;-0.427407;Yo estaba en las montanas
77686450I;EELBHZi;Ronni Cristofolini;48 Lyons Park;36.962013;-5.832607;Es una foto reciente
37906620D;yeifchC0;Sigvard Kepp;2113 Michigan Parkway;37.227268;-8.141407;No se si tengo tiempo
65474681I;jVKnmk;Rowland Eglaise;07 Monica Road;36.706364;-8.894902;Por alguna razon el microfono no habia funcionado hasta entonces
64772731E;3u1neulIH;Lark Rollett;7 Burrows Street;36.577723;-7.61097;Todo el mundo debe aprender por si mismo al final
62649776M;x2HAcqkII;Ken Marciek;92762 David Road;37.123456;3.45678;La educacion en este mundo me decepciona
06602903V;3DZ888;Oralla Earengey;488 Grasskamp Plaza;40.982255;-7.882574;El aprendizaje no debe ser forzado sino estimulado
44125609A;fLNUi4;Clea Aronstam;3217 Gulseth Way;36.047077;1.262455;Es una tarea dificil elegir que esta bien o mal pero has de hacerlo
45793792H;z1XG6sdo9aa;Uri Carah;3356 Butternut Center;40.505751;-1.841301;Eso no va a cambiar nada
82646444J;ilDvORD;Bertina Gantz;3 Summit Court;36.593812;-3.555559;Eso va a costar 30 €
61576601U;oNc6VUsj1Aih;Arlen Mandrier;70 Oneill Court;36.073897;-4.35478;Gano 100 € al dia
47775220Z;Ge4fCbJBSTpb;Meggie Lopez;4951 Tennyson Plaza;36.755014;-2.925663;Quizas me de pronto por vencido y en lugar de eso me eche una siesta
80329190Q;XF6SnZJT;Sean Mulloch;4045 Canary Crossing;42.292759;-5.543197;Eso es porque no quieres estar solo
23794291D;xFcQZWuL6;Arlen Steutly;9641 Golf Course Crossing;40.036524;-5.572202;Eso no va a pasar
71977774V;VRJE8iFR8A6G;Stanley Britzius;7806 Bultman Point;39.858534;-4.72781;A veces el puede ser un chico raro
44224343D;6bSlFEmP;Lucky Harriagn;15 Merchant Alley;39.654459;-6.146488;Me voy a esforzar por no molestarte en tus estudios
73625759U;ApUGpQstl;Garnet Napoli;80 Kim Junction;38.577126;2.654525;Solo puedo preguntarme si acaso es lo mismo para todos los demas
